电影名称,类型,上映日期,评价数,评分,主演
少林寺,"动作,武侠,古装",1982-02-01,97753,8.3,"李连杰,于海,丁岚,于承惠,计春华,王光权,胡坚强,孙建魁,刘怀良,张建文,阎涤华,王珏,杜传扬,崔志强,寻峰,潘汉光,潘清福,蒋洪波,童自荣,户田惠子,毕克,钱似莺,成运安,方平"
第一滴血,"剧情,动作,冒险",1982-10-22,84653,8.3,"西尔维斯特·史泰龙,理查德·克里纳,布莱恩·丹内利,比尔·麦金尼,杰克·斯塔雷特,Michael Talbott,克里斯·马尔基,约翰·麦克利亚姆,大卫·卡罗素,查尔斯·A·坦伯罗,斯蒂芬·E·米勒,布鲁斯·格林伍德,加里·海瑟林顿,史蒂芬·常,蘇琪·白,John Rigg,Craig Huston"
电影名称,类型,上映日期,评价数,评分,主演
太极旗飘扬,"动作,剧情,战争",2004-02-06,81519,8.3,"张东健,元斌,李恩珠,孔炯轸,崔岷植,金海坤,郑镇,韩在民,裴长秀,金秀路,朴东彬,全仁杰,朱雅凛,权泰元,朴振国,郑基燮,赵胤熙,D.C.道格拉斯,亚当·爱泼斯坦,安吉江,Jae-hyeong Jeon,全宰亨,郑斗洪"
最终幻想7：圣子降临,"动画,动作,科幻,惊悚",2005-08-31,56262,8.3,"樱井孝宏,伊藤步,森久保祥太郎,森川智之,坂本真绫,大川透,藤原启治,楠大典,岸祐二,乃村健次,铃木省吾,小林正宽,山路和弘,嘉数由美,石川英郎,市村正亲,诸星堇,诹访部顺一,丰口惠美,银河万丈,铃村健一,田村睦心,日笠阳子,森田成一"
一个字头的诞生,"动作,喜剧,犯罪",1997-03-14,51086,8.3,"刘青云,吴镇宇,李若彤,徐锦江,张达明,郑祖,宋本中,黄卓玲,邹凯光,戎祥,太保,江锦荣,高天发,哈哈,黄玉云,林志泰"
双旗镇刀客,"动作,冒险,武侠",1991-05-17,40921,8.3,"高一玮,赵玛娜,常江,孙海英,王刚"
爱的曝光,"动作,喜剧,剧情,爱情",2008-11-29,32688,8.3,"西岛隆弘,满岛光,渡部笃郎,渡边真起子,安藤樱,玄觉悠子,大口广司,荒木望,大崎由希,裵明,永冈佑,堀部圭亮,落合扶树,松冈茉优,尾上宽之,中村麻美,仓本美鹤,绫野刚,日向奈奈美,板尾创路"
卡桑德拉大桥,"剧情,动作,惊悚,灾难",1976-12-18,27780,8.3,"索菲娅·罗兰,理查德·哈里斯,马丁·辛,O·J·辛普森,莱昂内尔·斯坦德,安·托克尔,英格丽·图林,李·斯特拉斯伯格,艾娃·加德纳,伯特·兰卡斯特,洛乌·卡斯特尔,约翰·菲利浦·劳,雷·洛夫洛克,阿莉达·瓦利,斯蒂法诺·帕特里兹,托马斯·亨特,福斯塔·阿韦利,安琪拉·古德温,约翰·P·杜拉尼,严崇德,李梓,童自荣"
龙争虎斗,"动作,犯罪",1973-07-26,26567,8.3,"李小龙,石坚,茅瑛,约翰·萨克松,吉米·凯利,安娜卡普莉,罗伯特·沃尔,钟玲玲,杨斯,Peter Archer,郝履仁,玛琳·克拉克,乔宏,洪金宝,成龙,元华,张佩山,张作舟,周嘉崇,陈会毅,林正英,董玮,孟海,元彬,陈龙,钟发,元彪"
追捕,"剧情,动作,犯罪",1976-02-11,26508,8.3,"高仓健,原田芳雄,西村晃,中野良子,田中邦卫,倍赏美津子,严崇德,杨成纯,童自荣,于鼎,毕克,尚华,丁建华,池部良,大泷秀治,邱岳峰"
日落黄沙,"动作,西部",1969-06-18,9849,8.3,"威廉·霍尔登,欧内斯特·博格宁,罗伯特·瑞安,艾德蒙·奥布莱恩,沃伦·奥茨,比尔·哈特"
蝙蝠侠：元年,"剧情,动作,动画,犯罪",2011-10-18,8656,8.3,"布莱恩·科兰斯顿,艾丽莎·杜什库,本·麦肯锡,凯缇·萨克霍夫,阿历克斯·罗克,莉莉娜·穆米"
机动警察剧场版1,"剧情,动作,科幻,动画,犯罪",1989-07-15,6489,8.3,"千叶繁,古川登志夫,林原惠美,西村知道,榊原良子,唐·费洛斯,Julie Ann Taylor,萨姆·里格尔,罗杰·克莱格·史密斯,二又一成,阪脩,井上瑶,大林隆介,乡里大辅,池水通洋,富永美伊奈"
孟菲斯美女号,"动作,剧情,战争",1990-09-07,6040,8.3,"马修·莫迪恩,埃里克·斯托尔兹,西恩·奥斯汀,莫拉格·席勒,Greg Francis,杰森萨尔基,凯茜·墨菲,布拉德利·拉威尔,尼尔·吉恩托利,里德·戴蒙德,大卫·斯特雷泽恩,简·霍洛克斯,麦克·麦克唐纳德,考特尼·盖恩斯,约翰·利思戈,泰特·多诺万,比利·赞恩,本·布劳德,D·B·斯威尼,斯蒂文·麦金托什,小哈里·康尼克"
变形金刚大电影,"动作,科幻,动画,冒险",1986-08-08,5117,8.3,"彼特·库伦,伦纳德·尼莫伊,弗兰克·维尔克,奥逊·威尔斯,贾德·尼尔森,克里斯·拉塔,诺曼·阿尔登,杰克·安杰尔,迈克尔·贝尔,格雷格·白尔杰,苏珊·布卢,科里·伯顿,罗杰·C·卡梅尔,维克多·卡洛里,Regis Cordic,斯加特曼·克罗索斯,Bud Davis,Walker Edmiston,保罗·伊丁,Michael Bell"
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,"冒险,喜剧,动作",1965-06-03,4499,8.3,"斯图尔特·惠特曼,莎拉·米尔斯,詹姆斯·福克斯,阿尔贝托·索尔迪,罗伯特·莫利,杰特·弗罗比,让-皮埃尔·卡塞尔,伊琳娜·德米克,埃里克·赛克斯,雷德·斯克尔顿,特里-托马斯,班尼·黑尔,石原裕次郎,弗劳拉·罗博森,卡尔·米夏埃尔·福格勒,萨姆·沃纳梅克,Eric Barker,莫瑞斯·德纳姆,Fred Emney,戈登·杰克逊,Davy Kaye,约翰·勒·梅苏里尔,Jeremy Lloyd,赞娜·马歇尔,米利塞特·马丁,埃里克·普罗曼,马乔里·罗德,诺曼·罗辛顿,William Rushton,格雷厄姆·斯塔克,Jimmy Thompson,Michael Trubshawe,托尼·汉考克,詹姆斯·罗伯逊·贾斯蒂,Gerald Campion,Pauline Challoner,Cicely Courtneidge,弗农·多布切夫,Maurice Dunster,费迪·梅恩,比尔·纳吉,史蒂夫·普利塔斯,Mike Read,Nicholas Smith,罗尼·斯蒂芬斯,Rita Tobin-Weske,詹姆斯·维利尔斯"
战略大作战,"动作,冒险,喜剧,战争",1970-06-23,4146,8.3,"克林特·伊斯特伍德,唐纳德·萨瑟兰,唐·里克斯,凯勒·欧康纳,特利·萨瓦拉斯,加文·麦克劳德,斯图尔特·马戈林"
达摩祖师,"剧情,传记,动作",1994-02-26,3968,8.3,"尔冬升,樊少皇,元武,陈松勇,樊梅生,惠天赐"
福禄双霸天,"喜剧,动作,犯罪,音乐",1980-06-20,3306,8.3,"约翰·贝鲁西,丹·艾克罗伊德,詹姆斯·布朗,凯比·卡洛威,雷·查尔斯,艾瑞莎·弗兰克林,史蒂夫·克罗帕,唐纳德·邓恩,威利霍尔,汤姆·马龙,洛乌·马里尼,马特·墨菲,艾伦·鲁宾,凯丽·费雪,派恩塔普·帕金斯,吉恩·詹森,朱迪丝·贝鲁西-皮萨诺,本·皮亚扎,卢·佩里曼,Charles Mountain,Hank Robinson,劳伦斯·特劳德,Leonard R. Garner Jr.,埃迪·多诺,Bill Telfer,Paul Swearingen,乔·沃尔什,Rosie Shuster,夏卡·康,Walter Horton,崔姬,保罗·雷宾斯,约翰·坎迪,詹姆斯·杜蒙特,约翰·兰迪斯,弗兰克·奥兹,史蒂文·威廉姆斯,斯蒂夫·劳伦斯,Jeff Morris,亨利·吉布森,詹姆斯·埃弗里,约翰·李·胡克,Raven De La Croix,拉尔夫·富迪,凯瑟琳·弗里曼,Wally Engelhardt,Carolyn Franklin,杰夫·卡希尔,Layne Britton,柯特·克伦德尼,史蒂芬·比肖普,查尔斯·纳佩尔"
菜鸟总动员：毕业,"剧情,动作",2009-05-30,2671,8.3,"佐藤隆太,市原隼人,小出惠介,城田优,中尾明庆,高冈奏辅,桐谷健太,佐藤健,五十岚隼士,山本裕典,石田卓也,吹石一惠,谷桃子 ,平山浩行,胜野洋,川村阳介,渡部笃郎,武田航平,绫濑遥,浅野和之"
航海家,"喜剧,动作,爱情",1924-10-13,2235,8.3,"巴斯特·基顿,凯瑟琳·麦奎尔,弗雷德里克·弗鲁姆,Clarence Burton,H.N. Clugston,诺贝·约翰逊"
假面骑士ZO,"动作,冒险,剧情,科幻",1993-04-17,1522,8.3,"佐佐木功,土门广,森永奈绪美"
电影名称,类型,上映日期,评价数,评分,主演
战俘列车,"动作,剧情,冒险,战争",1965-06-23,1440,8.3,"弗兰克·辛纳特拉,特瑞沃·霍华德,拉法艾拉·卡拉,布拉德·德克斯特,赛尔乔·凡托尼,约翰·莱顿,Ernesto Molinari,Eric Micklewood,迈克尔·罗曼诺夫,爱德华·马哈尔,维托·斯科蒂,克里斯托弗·里奥丹,Ivan Triesault,詹姆斯·希金,Al Silvani,约翰·范德雷伦,Robert 'Buzz' Henry,迈克尔·古德利菲,Joe Gray,阿道弗·切利,Lee Stanley,威廉姆·伯格,詹姆斯·布洛林,理查德·巴卡利安,唐诺·葛勒特,Al Wyatt Sr.,伊安·艾伯克龙比,Barry Ford,Horst Ebersberg,保罗·穆勒,约翰·达海姆,亚瑟·布豪斯,沃尔夫冈·普莱斯"
上海灘續集,"剧情,动作,爱情",1983-01-25,1099,8.3,"周润发,赵雅芝,吕良伟,刘丹,曾楚霖,林文伟"
复仇者联盟,"动作,科幻,奇幻,冒险",2012-05-05,622420,8.2,"小罗伯特·唐尼,克里斯·埃文斯,斯嘉丽·约翰逊,克里斯·海姆斯沃斯,杰瑞米·雷纳,马克·鲁弗洛,塞缪尔·杰克逊,汤姆·希德勒斯顿,斯特兰·斯卡斯加德,寇碧·史莫德斯,克拉克·格雷格,保罗·贝坦尼,格温妮斯·帕特洛,斯坦·李,哈利·戴恩·斯坦通,季冠霖,杰兹·斯科利莫夫斯基,艾什莉·约翰逊,沃伦·科尔,珍妮·艾加特,安维尔·乔卡亚,埃里克斯·德尼索夫,鲍沃斯·布斯,张磊,卢·弗里基诺,陆建艺,马克斯米利亚诺·赫尔南德斯,吉莉安·莫格斯,罗密·罗斯蒙特,蒂娜·本科,杰西·加西亚,罗伯特·克洛赫赛,沃特尔·派瑞兹,肯尼斯·提加尔,达米恩·波蒂埃,米拉罕·凯尔·辛格,金永钢,杰夫·沃尔夫,李明航,詹姆斯·埃克豪斯,布兰登·马修·莱恩,阿瑟·达尔比尼扬,卡德罗莎·奥娜·卡罗尔"
功夫熊猫,"喜剧,动作,动画,冒险",2008-06-20,529542,8.2,"杰克·布莱克,达斯汀·霍夫曼,安吉丽娜·朱莉,伊恩·麦柯肖恩,成龙,塞斯·罗根,刘玉玲,大卫·克罗斯,兰德尔·杜克·金,吴汉章,丹·福勒,迈克·克拉克·邓肯,韦恩·奈特,凯尔·加斯,JR·里德,劳拉·奈特林格,坦雅·海登,斯蒂芬·凯林,马克·奥斯本,约翰·斯蒂文森,肯特·奥斯博内,瑞利·奥斯本,陈奕迅,木村佳乃,房祖名,符爽,笹野高史,吴文伦"
X战警：逆转未来,"剧情,动作,科幻,冒险",2014-05-23,427671,8.2,"休·杰克曼,詹姆斯·麦卡沃伊,迈克尔·法斯宾德,詹妮弗·劳伦斯,哈莉·贝瑞,尼古拉斯·霍尔特,埃文·彼得斯,伊恩·麦克莱恩,帕特里克·斯图尔特,艾利奥特·佩吉,安娜·帕奎因,彼特·丁拉基,肖恩·阿什莫,卢卡斯·提尔,丹尼尔·库德摩尔,波波·斯图尔特,奥玛·希,范冰冰,阿丹·坎托,乔什·赫尔曼,米辛加·姆温加,格雷格·洛,凯尔希·格兰莫,布莱恩·考克斯,朱利安·凯西,劳伦斯·布莱切,杰森·德里恩,卡琳·瓦纳斯,尼尔·纳皮尔,罗伯特·蒙卡尔姆,布莱恩·何,米娅·谢尔顿-孔特雷拉斯,布里安娜·伯恩,周帅,莫·尤迪-拉穆尔,凯尔·盖特豪斯,泽拉·莱弗曼,Alex Ivanovici,卡德罗莎·奥娜·卡罗尔,Brendan Pedder,格里戈里·格拉季,Stéphane Julien,迈克尔·勒纳,安德里亚斯·艾波吉斯,麦克·多普德,马克·卡马乔,摩根·莉莉,Massimo Cannistraro,Lee Villeneuve,伊万·乔尼凯特,詹姆斯·麦斯登,法米克·詹森,贾·史密斯-约翰逊,Amelia Giovanni,罗伯特·克鲁克斯,泰-霍·乐"
生化危机,"动作,科幻,恐怖",2002-03-15,325475,8.2,"米拉·乔沃维奇,米歇尔·罗德里格兹,科林·萨蒙,埃里克·马比斯,詹姆斯·鲍弗,詹森·艾萨克,海克·玛卡琪,菲奥娜·格拉斯科特,帕斯奎尔·阿莱亚尔迪,马丁·克鲁斯,史蒂芬·比灵顿,杰米斯·巴特勒,约瑟夫·梅,丽兹·梅·布莱丝,杰米·哈丁,Anna Bolt"
X战警：第一战,"动作,剧情,科幻",2011-05-25,319268,8.2,"詹姆斯·麦卡沃伊,迈克尔·法斯宾德,凯文·贝肯,詹妮弗·劳伦斯,罗丝·伯恩,尼古拉斯·霍尔特,贝丝·戈达德,摩根·莉莉,劳伦斯·布莱切,比尔·米尔纳,佐伊·克罗维兹,卡赖伯·兰德里·琼斯,卢卡斯·提尔,奥利弗·普莱特,亚历克斯·冈萨雷斯,杰森·弗莱明,詹纽瑞·琼斯,艾迪·盖瑟吉,克里·约翰逊,迪米特里·格里特萨斯,格伦·莫肖尔,马特·克拉文,詹姆斯·瑞马尔,路德格·皮斯特,威尔弗里德·霍赫霍尔丁格,格雷戈·科尔帕克奇,安德瑞扎亚茨,拉德·舍博德兹加,雷·怀斯,迈克尔·麦迪罗斯,奥莱克·克鲁帕,吉恩·法贝尔,詹姆斯·福克纳,伊娃·马格亚,安娜贝拉·沃丽丝,大卫·科罗,萨莎·皮特丝,布兰登·费尔,迈克尔·艾恩塞德,杰森·贝盖,托尼·库兰,兰道尔·巴蒂尼科夫,彼得·斯塔克,尼尔·芬格尔顿,乔格·尼可洛夫,阿瑟·达尔比尼扬,拉斯科·阿特金斯,查尔斯·L·坎贝尔,格拉姆·柯里,丽贝卡·沃尔什,肖恩·赫拉多,休·杰克曼,Hannah-joy Lewis,特蕾莎·马奥尼,劳拉·让·马什,吉姆·麦司奇门,丽贝卡·罗梅恩,艾丽西娅·维拉-贝利,多米尼卡·范·桑滕"
黑衣人,"动作,喜剧,科幻",1997-07-02,313519,8.2,"威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺,文森特·多诺费奥,雷普·汤恩,托尼·夏尔赫布,卡雷尔·斯特鲁基,弗瑞德里克·林恩,查尔斯·C·史蒂文森,理查德-汉密尔顿,迈克·努斯鲍姆,丹尼·德维托,史蒂文·斯皮尔伯格,强·格瑞斯,希博汗·法隆,大卫·克罗斯,乔治·卢卡斯,Mushu"
师父,"剧情,动作,武侠",2015-12-10,307511,8.2,"廖凡,宋佳,蒋雯丽,金士杰,宋洋,黄觉,麦迪娜,张傲月,马君,陈观泰,熊欣欣,戴立忍,裘继戎,李博,邹家豪,卡丽娜,赵贵祥,李春遂,张蒙生,彭志,刘洪林,王宝山,刘子威,陈韦然,赵峥,李桂生,薄冰,谢勇,尚言生,杨晓波,刘妙,艾琳,刘新义,安东·夏波瓦洛,李一明,李光复,闫长海,杜月,高肖雅,鲁冠廷,柳青伶,崔陆萌,王星凯,冯启龙,任思扬,秦伯坤,赵英龙,徐悦,陈大成,达伦·格罗夫纳,乔鸣麟"
超人总动员,"喜剧,动作,动画,冒险",2005-01-28,280556,8.2,"格雷格·T·尼尔森,霍利·亨特,塞缪尔·杰克逊,杰森·李,泰迪·牛顿,华莱士·肖恩,蔡康永,布拉德·伯德,徐熙娣,陈佩斯,莎拉·沃威尔,Spencer Fox,姜文,宫迫博之,徐帆,斯蒂芬·沙弗,Dmitry Pomirchy,Ricardo Gray,马克∙安德鲁斯,巴德·乐凯,鲍勃·彼德森,彼得·孙,泰德·马托特"
老男孩,"剧情,动作,悬疑,惊悚",2003-11-21,272716,8.2,"崔岷植,刘智泰,姜惠贞,金秉玉,吴达洙,李胜欣,尹珍序,池大汉,吴泰景,柳演锡,李代延,吴光禄,朴明申,龙伊,玛丽·德文,克里斯平·弗里曼,史蒂夫·克莱默,雪莉·琳恩,迈克尔·麦康诺希,斯蒂芬妮·社,柯克·桑顿,凯瑞·华格伦,刘日汉,赵相庆"
我，机器人,"动作,悬疑,科幻,惊悚",2004-07-16,258428,8.2,"威尔·史密斯,布里吉特·莫伊纳汉,艾伦·图代克,詹姆斯·克伦威尔,布鲁斯·格林伍德,齐·麦克布赖德,杰瑞·瓦塞尔曼,彼得·新田,特瑞·陈,戴维·哈索姆,阿伦·道格拉斯,艾米丽·坦南特,希亚·拉博夫,Tiffany Lyndall-Knight,安吉拉·穆尔,Aaron Joseph,西蒙·本克,菲利普·米切尔,琳娜·泽格,贾斯汀·罗杰斯豪尔"
碟中谍,"动作,冒险,惊悚",1996-05-22,241538,8.2,"汤姆·克鲁斯,强·沃特,艾曼纽·贝阿,亨利·科泽尼,让·雷诺,文·瑞姆斯,克里斯汀·斯科特·托马斯,瓦妮莎·雷德格雷夫,茵格保加·达坤耐特,瓦伦蒂娜·雅库尼亚,马雷克·瓦苏特,John McLaughlin,罗尔夫·萨克森,卡雷尔·多布雷,安德雷斯·魏斯涅夫斯基,Gaston Subert,里科·罗斯,Bob Friend,安娜贝尔·穆利恩,加里克·哈根,Jirina Trebická,山姆·道格拉斯,奥莱加·费多罗,大卫·施奈德,海伦·林赛,兰德尔·保罗,迈克尔·罗杰斯,劳拉·布鲁克,梅丽莎·纳奇布尔,扬·卡拉米特鲁,代尔·戴,马塞尔·尤勒斯,基思·坎贝尔,艾米利奥·艾斯特维兹,哈里·弗雷德尔,约翰·诺尔"
孤胆特工,"剧情,动作,犯罪,惊悚",2011-09-16,193307,8.2,"元斌,金赛纶,坦纳永·王特拉库,金太勋,金熙元,宋永彰,李宗弼,金成伍,金孝书,白秀莲,郭度沅,洪晓熙,金英雅,朴晟泽,徐东锡,郑敏圣,黄民浩,魏智雄,柳妍美,柳义贤,郑道元,韩根燮,李道谦,赵在允,李才元"
终结者,"动作,科幻,惊悚",1984-10-26,191004,8.2,"阿诺·施瓦辛格,迈克尔·比恩,琳达·汉密尔顿,保罗·温菲尔德,兰斯·亨利克森,里克·罗索维奇,贝丝·莫塔,阿尔·伯恩,迪克·米勒,弗兰科·哥伦布,比尔·帕克斯顿,布莱恩·汤普森,小威廉·威谢尔,菲利普·戈登,哈丽特·梅丁,玛丽安妮·穆勒雷尔,达雷尔·马普森,斯坦·耶尔,Norman Friedman,Barbara Powers,Chino 'Fats' Williams,童自荣,户田惠子"
空中监狱,"剧情,动作,犯罪,惊悚",1997-06-06,173980,8.2,"尼古拉斯·凯奇,约翰·库萨克,约翰·马尔科维奇,文·瑞姆斯,科尔姆·米尼,麦凯尔泰·威廉逊,尼克·齐兰德,大卫·查普尔,雷切尔·蒂科汀,史蒂夫·布西密,丹尼·特雷霍,迈克·康纳·盖尼,兰德里·阿尔伯特,莫妮卡·波特,杰西·博雷格,何塞·祖尼加,耐德·巴拉米,约翰·罗斯留斯,弗瑞德里克·林恩,安吉拉·范泽斯通,道格·休切逊,大卫·莱姆希,埃米里奥·瑞弗拉,格雷格·科林斯,唐·戴维斯,雷诺里·圣地亚哥,布伦丹·凯利,马里奥罗伯茨,Ty Granderson Jones,Earl Billings,Billy Devlin,马克·金特尔,小托马斯·罗萨莱斯,埃迪·佩雷斯,杰夫·奥尔森,马蒂·麦克索利,布莱恩·库瑞,Barbara Sharma,鲍勃·斯蒂芬森,皮特·安蒂克,吉尔伯特·罗萨莱斯,斯科特·罗森伯格,约翰·迪尔,Christopher Robin Hood,鲍沃斯·布斯,Scott Ditty,克里斯·埃里斯,康拉德·古德,戴布思·格里尔,凯文·盖奇,Marco Kyris,Kira Burt,凯文·库尼,马修·巴里,Carl Ciarfalio,丹尼斯·伯克利"
升级,"动作,科幻,惊悚",2018-03-10,150322,8.2,"罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森,本尼迪克·哈迪,克里斯托弗·卡比,理查德·考索恩,琳达·克罗珀,贝蒂·加布里埃尔,罗斯科·坎贝尔,理查德·阿纳斯塔西奥斯,史蒂夫·丹尼尔森,迈克尔·M·福斯特,雷纳·加拉赫,克莱顿·雅各布森,萨钦·乔伯,西蒙·梅登,道格拉斯·恩布里,利亚姆·豪沃思,曼乔特·贾萨尔"
真实的谎言,"喜剧,动作,惊悚",1995-04-20,147294,8.2,"阿诺·施瓦辛格,杰米·李·柯蒂斯,汤姆·阿诺德,比尔·帕克斯顿,蒂亚·卡雷尔,阿特·马里克,艾丽莎·杜什库,格兰特·赫斯洛夫,查尔顿·赫斯顿,马绍尔·曼尼什,詹姆斯·艾伦,迪特尔·劳特尔,简·莫里斯,卡齐·查普尔,克丽丝蒂娜·怀勒,奥弗·萨姆拉,查利·皮切尔尼,克里斯塔尔·查佩尔,查尔斯·A·坦伯罗,约翰·布鲁诺"
买凶拍人,"犯罪,动作,喜剧",2001-08-16,137657,8.2,"葛民辉,张达明,詹瑞文,樋口明日嘉,陈惠敏,方子璇,陈辉虹,缪非临,刘以达,林雪,邵音音,王合喜,毕国智,周兆麟,汤盈盈,范振锋,于洋,王文骏,彭浩翔,萧洪,方平,茜利妹,潘雁英,彭秀慧,兰茜,林尚义,郑祖,张咏妍,李道谕,徐志雄,曾德华"
黄飞鸿之二：男儿当自强,"剧情,动作,爱情,武侠,古装",1992-04-16,124483,8.2,"李连杰,关之琳,甄子丹,莫少聪,姜大卫,熊欣欣,张铁林,任世官,邓泰和,陈文雄,周树基,江全,秦贵宝,麦克·里德,何家驹,林迪安,朱继生"
电影名称,类型,上映日期,评价数,评分,主演
勇敢者的游戏,"动作,奇幻,冒险",1995-12-15,123146,8.2,"罗宾·威廉姆斯,乔纳森·海德,克斯汀·邓斯特,布莱德利·皮尔斯,派翠西娅·克拉克森,邦尼·亨特,弗兰克·维尔克,詹姆斯·汉迪,马尔科姆·斯图尔特,吉莲·芭伯,劳拉·贝尔·邦迪,亚当·汉拜德,大卫·艾兰·格里尔,毕比·诺维尔什"
铁雨,"动作,惊悚",2017-12-14,118524,8.2,"郑雨盛,郭度沅,金甲洙,金义城,李璟荣,赵祐镇,郑元中,张铉诚,金明坤,朴恩惠,朴善英,元真儿,李润健,金亨宗,金芝荷,罗光旭,玄奉植,金基贤,金泰汉,克里斯汀·达尔顿,安德烈亚斯·弗龙克,丹尼尔·乔伊·奥尔布赖特,成民秀,陈阳旭,郑钟宇,乔恩林,延素金,白钟焕,李煌义,金永今,全英美,权韩率,高娜熙,权范泽,姜德重,郑美景,李芷媛,吴敏俊,瑞安·毛瑞尔,金永,崔贤钟,申载敏,金基政,李喜元,李时宇,朴尚赫,金韩民,韩昌贤,朴珉熙,孙成灿,金重基,李在勇,韩汝云,罗恩·多纳基,崔圭换,李彩殷"
生死时速,"动作,犯罪,惊悚,冒险",1994-06-10,115074,8.2,"基努·里维斯,桑德拉·布洛克,丹尼斯·霍珀,乔·莫顿,杰夫·丹尼尔斯,阿兰·卢克,格伦·普拉默,丹尼尔·比利亚雷亚尔,贝丝·格兰特,乔丹·朗德,理查德·梅尔豪斯,派特里克·费斯克勒,Patrick John Hurley,Anne O'Sullivan,博斯塔尔,约翰·卡波迪斯,小托马斯·罗萨莱斯,詹姆斯·杜蒙特,Antonio Mora,Mark Kriski,Dagny Hultgreen,理查德·希夫,桑迪·马丁,Jim Mapp,Loyda Ramos,朱莉娅·维拉,Randy Algoe,维罗尼卡·卡维特,马克·戈登,Craig Hosking,J. David Jones,Christopher C. Murphy,迈克尔·塔姆布洛,Eddie Yansick,户田惠子,弥尔顿·奎,沈晓谦"
星球大战前传1：幽灵的威胁,"动作,科幻,冒险",1999-11-05,114826,8.2,"连姆·尼森,伊万·麦克格雷格,娜塔莉·波特曼,杰克·洛伊德,伊恩·麦克迪阿梅德,潘妮拉·奥古斯特,奥利弗·福德·戴维斯,阿梅德·贝斯特,安东尼·丹尼尔斯,肯尼·贝克,弗兰克·奥兹,特伦斯·斯坦普,布耐恩·布莱塞得,安德鲁·斯考姆比,休·夸希,洛尔恩·彼得森,莎莉·霍金斯,马克·凯奥耶,琳赛·邓肯,特里莎·比格,凯拉·奈特莉,塞缪尔·杰克逊,索菲亚·科波拉,凯蒂·卢卡斯,彼得·塞拉菲诺威茨,哈萨尼·沙皮,雷·帕克,布罗娜·加拉赫,Ned Gorman,瑞克·麦克勒姆,斯科特·斯奎尔斯,Michelle Taylor,格雷格·普罗普斯,多米尼克·韦斯特,本内迪克特·泰勒,西莉亚·伊姆里,史蒂夫·斯皮尔斯,沃维克·戴维斯,约翰·诺尔"
国家公敌,"动作,剧情,惊悚",1998-11-20,108275,8.2,"威尔·史密斯,吉恩·哈克曼,强·沃特,莉莎·博内特,雷吉娜·金,斯图亚特·维尔森,劳拉·凯洛蒂,劳恩·迪恩,巴里·佩珀,伊恩·哈特,杰克·布塞,斯科特·凯恩,杰森·李,加布里埃尔·伯恩,詹姆斯·勒格罗,丹·巴特勒,杰克·布莱克,杰米·肯尼迪,博德希·埃夫曼,安娜·冈,加斯查·华盛顿,汤姆·塞兹摩尔,Eric Olson,Pete Sutton,Paul Majors,Tom Quinn,Joshua Ward,伊莉卡·帕米尔坦,Alexis McCombs,沈晓谦,拉里·金,Jacob Chambers,童自荣,Eddie Hargitay,Philip Stamper,武玉,詹姆斯·亨特,菲尔霍恩,阿瑟·J·纳斯加勒拉,杰森·罗巴兹,李洛·布兰卡托,赛斯·格林,弗兰克·梅德拉诺,伊万娜·米利塞维奇,卡洛斯·戈麦斯,约翰·塞纳迭姆博,Paul M. Clary,Lennox Brown,格雷格·科林斯,约翰·卡波迪斯,Jim Beatty,菲利普·贝克·霍尔,格兰特·赫斯洛夫,保罗·赫尔曼"
未知死亡,"动作,剧情,悬疑,爱情,惊悚",2008-12-25,100471,8.2,"阿米尔·汗,缇努·阿南德,阿辛,吉雅·罕"
热血高校2,动作,2009-04-11,92908,8.2,"小栗旬,矢部享佑,黑木美沙,金子统昭,三浦春马,高冈奏辅,山田孝之,阿部亮平,阿部进之介,青木健,绫野刚,大东骏介,远藤要,远藤宪一,深水元基,桥爪辽,一之濑亘,伊崎央登,伊崎右典,上地雄辅,桐谷健太,岸谷五朗,小柳友,增本庄一郎,松重丰,波冈一喜,诹访太朗,铃之助,高桥努,蕨野友也,大口兼悟,哀川翔,平间壮一,安藤彰则,桥爪功"
虎胆龙威,"动作,犯罪,惊悚",1988-07-20,78009,8.2,"布鲁斯·威利斯,邦妮·比蒂丽娅,雷金纳德·维尔约翰逊,保罗·格里森,威廉·阿瑟东,哈特·巴克纳,詹姆斯·繁田,艾伦·瑞克曼,亚历山大·乔杜诺夫,安德雷斯·魏斯涅夫斯基,小克拉伦斯·吉尔亚德,Lorenzo Caccialanza,丹尼斯海顿,阿尔·梁,Gary Roberts,Hans Buhringer,威赫姆·冯·霍姆伯格,罗伯特·戴维,格兰德·L·布什,里克·杜科蒙,Matt Landers,Anthony Peck,玛丽·艾伦·特雷纳,Harri James,Selma Archerd,瑞贝卡·布罗萨德,Kym Malin,泰勒·弗里,特雷西赖纳,罗伯特·莱萨,Terri Lynn Doss,Conrad Hurtt,T.J. Jones,查利·皮切尔尼"
枪王,"动作,犯罪",2000-05-27,72636,8.2,"张国荣,方中信,黄卓玲,陈法蓉,谷德昭,陈望华,蔡业信,蔡坚成,古炳杰,方平,张旭燊"
