电影名称,类型,上映日期,评价数,评分,主演
黑客帝国3：矩阵革命,"动作,科幻",2003-11-05,415291,8.8,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,雨果·维文,贾达·萍克·史密斯,凯特·宾汉,玛丽·爱丽丝,莫妮卡·贝鲁奇,埃茜·戴维斯,克里斯托弗·卡比,罗伯特·马莫内,罗宾·奈文,吉娜薇·欧瑞丽,诺娜·加耶,纳撒尼尔·利斯,哈里·列尼斯,哈罗德·佩里诺,鲁伯特·雷德,凯文·迈克尔·理查德森,大卫·罗伯茨,布鲁斯·斯宾斯,吉娜·托瑞斯,克莱顿·华生,赫尔穆特·巴凯蒂斯,邹兆龙,乔·曼宁,Tanveer K. Atwal,拉黑·休姆,康奈尔·韦斯特,伯纳德·怀特,朗贝尔·维尔森,安东尼·布兰登·黄,安东尼·泽比,克雷格·沃克,任亚明,蕾切尔·布莱克曼,户田惠子"
谍影重重3,"动作,悬疑,惊悚",2007-11-15,389428,8.8,"马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,斯科特·格伦,帕迪·康斯戴恩,埃德加·拉米雷兹,阿尔伯特·芬尼,琼·艾伦,克里·约翰逊,丹尼尔·布鲁赫,乔伊·安沙,科林·斯廷顿,丹·弗雷登堡,马克·莫特拉姆,杰弗里·李·吉布森,布莱恩·考克斯,劳伦斯·波萨,特雷弗·圣约翰,布兰科·托莫维奇,凯·马丁,斯科特·阿金斯,露西·莱曼,迈克尔·怀德曼,汤姆·加洛普,马克·巴泽利,查尔斯·维恩,弗朗卡·波滕特"
纵横四海,"剧情,喜剧,动作,犯罪",1991-02-02,387195,8.8,"周润发,张国荣,钟楚红,朱江,曾江,胡枫,唐宁,邓一君,韩俊,冯雪瑞,胡大为"
终结者2：审判日,"动作,科幻",1991-07-03,316027,8.8,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆,罗伯特·帕特里克,阿尔·伯恩,乔·莫顿,埃帕莎·默克森,卡斯图罗·格雷拉,丹尼·库克塞,詹妮特·戈德斯坦恩,山德·贝克利,莱思莉·汉密尔顿·格伦,彼得·舒鲁姆,唐·雷克,吉姆·帕尔默,格温达·迪肯,科林·帕特里克·林奇,妮基·考克斯,德沃恩·尼克森,阿卜杜勒·萨拉姆·埃尔·拉扎克,迈克·马斯喀特,迪恩·诺里斯,查尔斯·A·坦伯罗,丹尼·皮尔斯,马克·克里斯托弗·劳伦斯,林凡 ,乔尔·克莱默,斯科特·肖,史文-欧尔·托尔森,小威廉·威谢尔,Michael Edwards,Don Stanton,Dan Stanton,Lisa Brinegar,Dalton Abbott,Bret A. Arnold,Martin Deluca,迈克尔·比恩"
枪火,"剧情,动作,犯罪",1999-11-19,201420,8.8,"吴镇宇,任达华,黄秋生,吕颂贤,张耀扬,林雪,王天林,施绮莲,高雄,黄华和,张志平,邱万城,佐滕佳次,肖俊峰,郑家生,艾威,罗永昌,钱江汉"
东邪西毒：终极版,"剧情,动作,爱情",2009-03-26,180412,8.8,"张国荣,林青霞,梁朝伟,张学友,张曼玉,刘嘉玲,梁家辉,杨采妮,白丽,廖静妮,王家卫"
黑客帝国动画版,"动作,剧情,动画,科幻",2003-06-03,47119,8.8,"大塚明夫,克莱顿·华生,帕梅拉·阿德龙,海蒂·布雷斯,特伦斯·卡森,美琳达·克拉克,奥利薇亚·阿波,戴恩·A·戴维斯,威廉·R·迪恩,里克·戈麦斯,基努·里维斯"
椿三十郎,"剧情,喜剧,动作,犯罪,惊悚",1962-01-01,27060,8.8,"三船敏郎,仲代达矢,小林桂树,加山雄三,团令子,志村乔,藤原釜足,入江隆子,清水将夫,伊藤雄之助,久保明,太刀川宽,土屋嘉男,田中邦卫,江原达怡,平田昭彦,小川虎之助,堺左千夫,佐田丰,大友伸,广濑正一,伊藤实,樋口年子"
桥,"动作,战争",1969-07-14,21264,8.8,"韦利米尔·巴塔·日沃伊诺维奇,斯洛博丹·佩罗维奇,鲍里斯·德沃尔尼克,雷利亚·巴希奇,希比娜·米亚托维奇,Boro Begovic,伊万·严尼奇耶维奇,Igor Galo,Wilhelm Koch-Hooge,汉约·哈塞,约万·米利切维奇,Dusan Janicijevic,德米特·比滕茨,Maks Furijan,Milja Vujanovic,Veljko Mandic,Slobodan Velimirovic,Minja Vojvodic"
西线无战事,"剧情,动作,历史,战争",1930-04-21,17978,8.8,"路易斯·沃海姆,刘·艾尔斯,约翰·雷,阿诺德·露西,本·亚历山大,斯科特·寇克,小欧文·戴维斯,沃尔特·罗杰斯,威廉·贝克韦尔,拉塞尔·格里森,理查德·亚历山大,哈罗德·古德温,斯利姆·萨默维尔,G·帕特·柯林斯,贝丽尔·默瑟,艾德蒙·布里斯"
奈克瑟斯奥特曼剧场版,"动作,剧情,奇幻,科幻",2004-12-18,4630,8.8,"别所哲也,草刈正雄,裕木奈江,远山景织子,广田亮平,大澄贤也"
电影名称,类型,上映日期,评价数,评分,主演
头号玩家,"动作,科幻,冒险",2018-03-30,1266042,8.7,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森,马克·里朗斯,丽娜·维特,森崎温,赵家正,西蒙·佩吉,T·J·米勒,汉娜·乔恩-卡门,拉尔夫·伊内森,苏珊·林奇,克莱尔·希金斯,劳伦斯·斯佩尔曼,佩蒂塔·维克斯,艾萨克·安德鲁斯,雅各布·贝特兰德,朱莉娅·尼克森,丹尼尔·祖尔格哈德利,阿玛尼·杰克森,汤姆·特纳,麦肯娜·格瑞丝,杰登·福拉-奈特,基特·康纳,埃里克·西格蒙德森,利蒂希娅·赖特,罗伯特·吉尔贝托,迈克尔·怀德曼,图尔洛夫·科维里,内特·莫汗,露露·威尔逊,罗娜·莫里森,阿隆索·阿尔瓦雷斯"
超能陆战队,"喜剧,动作,科幻,动画,冒险",2015-02-28,932976,8.7,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,郑智麟,小达蒙·韦恩斯,珍尼希斯·罗德里格兹,詹姆斯·克伦威尔,艾伦·图代克,玛娅·鲁道夫,亚布拉哈姆·本鲁比,凯蒂·洛斯,比利·布什,丹尼尔·吉尔森,保罗·布里格斯,菅野美穗,乔西·特立尼达,查尔斯·阿德勒,郝祥海,斯坦·李,Dan Howell,大卫·肖内西,夏洛特·古列齐"
新龙门客栈,"动作,爱情,武侠,古装",2012-02-24,407820,8.7,"张曼玉,林青霞,梁家辉,甄子丹,熊欣欣,刘洵,任世官,吴启华,袁祥仁,徐锦江,郑希怡,王彤川,王伟顺,蔡浩,元彬,陈志辉,邢金沙,施懿,冯雪瑞,廖静妮,魏晶琦"
黑客帝国2：重装上阵,"动作,科幻",2003-07-18,376070,8.7,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,雨果·维文,莫妮卡·贝鲁奇,赫尔穆特·巴凯蒂斯,斯蒂夫·巴什托尼,克里斯汀·阿努,丹尼尔·伯哈特,约瑟芬·白内斯,安迪·阿尼斯,贾达·萍克·史密斯,邹兆龙,埃茜·戴维斯,纳许·埃哲顿,格洛丽亚·福斯特,大卫·富兰克林,诺娜·加耶,小罗伊·琼斯,大卫·基尔德,兰德尔·杜克·金,克里斯托弗·卡比,纳撒尼尔·利斯,哈里·列尼斯,罗伯特·马莫内,马特·麦科姆,罗宾·奈文,大卫·诺,吉娜薇·欧瑞丽,苏格拉底·奥图,哈罗德·佩里诺,阿德里安·雷梅特,尼尔·雷梅特,鲁伯特·雷德,大卫·罗伯茨,凯文·斯科特,尼坎德罗·托马斯,吉娜·托瑞斯,史蒂夫·维拉,克莱顿·华生,康奈尔·韦斯特,雷·沃纳尔,伯纳德·怀特,朗贝尔·维尔森,安东尼·布兰登·黄,安东尼·泽比,史蒂夫·莫里斯,托莉·莫塞特,户田惠子,保罗·高特,任亚明"
谍影重重2,"动作,悬疑,惊悚",2004-11-14,326698,8.7,"马特·达蒙,布莱恩·考克斯,琼·艾伦,卡尔·厄本,弗朗卡·波滕特,朱丽娅·斯蒂尔斯,加布里埃尔·曼,马尔顿·索克斯,汤姆·加洛普,约翰·贝德福德·劳埃德,伊桑·桑德勒,米歇尔·莫纳汉,卡瑞尔·罗登,托马斯·阿拉纳,奥莎娜·阿金什那,Yevgeni Sitokhin,蒂姆·格里芬,肖恩·史密斯,马克西姆·科瓦莱夫斯基,帕特里克·克劳利,乔恩·科林·巴克利,谢恩·辛努特科,Claudio Maniscalco,Dirk Schoedon,伊万·舍甫多夫,丹尼斯·布尔加兹列夫,Nick Wilder,维克多·埃菲尔,埃莱娜·卡多纳,克里斯·库珀"
黑鹰坠落,"动作,历史,战争",2001-12-18,267777,8.7,"乔什·哈奈特,伊万·麦克格雷格,汤姆·塞兹摩尔,金·寇兹,艾文·布莱纳,艾瑞克·巴纳,休·丹西,威廉·菲克纳,奥兰多·布鲁姆,汤姆·哈迪,詹森·艾萨克,强尼·斯特朗,恩里克·穆西安诺,乔治·哈里斯,泰·布利尔,尼古拉·科斯特-瓦尔道,布莱恩·范·霍尔特,理查德·泰森,卡迈因·吉欧凡纳佐,艾恩·格拉法德,山姆·夏普德,加布里埃尔·卡塞斯,朗·埃达德,汤姆·盖里,查理·霍夫赫梅尔,丹尼·霍奇,泽利科·伊万内克,格伦·莫肖尔,杰里米·皮文,布兰登·萨克斯顿,马修·马斯登"
启示,"动作,冒险,剧情",2006-12-08,85702,8.7,"鲁迪·杨布拉德,达利娅·埃尔南德斯,乔纳森·布雷维尔,莫里斯·博德耶洛海德,劳尔·特鲁希洛,赫拉多·塔拉塞纳,卡洛斯·伊米里奥·巴厄兹,阿米尔卡尔·拉米瑞兹,伊斯雷尔·康特雷拉斯,伊斯雷尔·里奥斯,玛利亚·迪亚兹,埃斯皮里迪恩·阿科斯塔·卡奇,梅拉·萨布罗,伊阿祖娅·拉里奥斯,艾贝尔·伍尔里奇"
